sc_point_gid,latitude,longitude,timezone,elevation_m,resource,area_developable_sq_km,capacity_ac_mw,capacity_density_included_area_mw_per_km2,capacity_density_convex_hull_mw_per_km2,dist_spur_km
28351,43.958355,-90.41161,-6,308.8889,7.1541905,4.3019996,54,14.781966,3.7889552,1.909188309
28352,43.952538,-90.2592,-6,282.8,6.8638144,0.6039,0,0,0,23.02364933
28354,43.940426,-89.954475,-6,282.75,7.0570736,1.0017,30,37.037037,14.272461,17.94682466
28355,43.934135,-89.802155,-6,289.6,7.062049,0.16379999,0,0,0,24.60901946
28356,43.927692,-89.64987,-6,313.5,7.418828,0.089999996,0,0,0,30.84460387
28358,43.91433,-89.3454,-6,256.2,6.9250097,0.09810001,0,0,0,22.94799349
28359,43.907417,-89.19321,-6,250.5,7.079333,0.37980002,0,0,0,23.46990258
28360,43.90035,-89.04106,-6,233,7.079494,0.08730001,0,0,0,20.57491557
28365,43.862663,-88.28085,-6,290.06668,7.8692164,2.2032,60,27.233116,3.5806904,0.54
28377,43.756348,-86.46062,-5,217.5,7.6325307,0.062099997,0,0,0,32.06403246
28378,43.74648,-86.30923,-5,211,7.1310105,0.4455,0,0,0,37.91887661
28379,43.736454,-86.15789,-5,278.64285,7.4537516,0.9234,60,64.97726,3.5501592,1.334558441
28380,43.72628,-86.00661,-5,255.2,7.08865,4.3533,108,26.936028,2.2012703,1.589116882
28381,43.71595,-85.85536,-5,277.77777,7.1815825,2.5695,126,51.00182,1.5615536,13.74286363
28382,43.70546,-85.70418,-5,306.1,7.1655316,2.9655,108,36.730946,2.0673091,1.694558441
28383,43.694817,-85.55305,-5,341.375,7.617825,0.9558,60,62.77464,3.128757,6.350071427
28384,43.68402,-85.40196,-5,319,7.3821707,0.053099997,0,0,0,26.0410714
28385,43.673073,-85.250946,-5,307,7.1776567,0.0126,0,0,0,25.09785063
28386,43.66197,-85.099976,-5,328.4,7.4972134,1.215,0,0,0,30.22940259
28387,43.65071,-84.94906,-5,259.69232,7.1809077,1.2069,60,49.71414,3.409673,18.26205194
28388,43.639297,-84.7982,-5,245.07143,7.19145,1.0692,54,50.50505,3.163042,6.742051942
28389,43.62773,-84.6474,-5,215.75,6.8865027,0.28071898,0,0,0,14.02565584
28390,43.616013,-84.49666,-5,212.8,6.777637,0.2142,0,0,0,20.32629868
28395,43.555107,-83.743835,-5,180.42857,7.378074,0.2673,0,0,0,12.07873375
28396,43.542465,-83.593445,-5,188.65625,7.4317107,3.4911,180,51.55968,2.3564124,0.344558441
28397,43.52967,-83.44313,-5,204.6923,7.534719,1.1097,60,54.06867,2.9168444,7.626610383
28402,43.463398,-82.692505,-5,232,7.710482,0.0324,0,0,0,13.97777921
28431,43.00419,-78.37462,-5,265,7.550601,0.0324,0,0,0,9.299331163
28435,42.930927,-77.78441,-5,175.75,6.81037,0.4815,0,0,0,8.039331163
28437,42.893402,-77.48983,-5,279,7.2005177,0.0081,0,0,0,18.9921948
28443,42.777267,-76.60829,-5,319,7.321402,0.0081,0,0,0,25.55269478
28445,42.737373,-76.31519,-5,513.3333,8.386466,0.2673,0,0,0,23.19990258
28446,42.717205,-76.168785,-5,469,7.9909782,0.486,48,111.80992,0.7325328,12.63572727
28447,42.696888,-76.02248,-5,456.33334,7.2480536,0.081,0,0,0,18.71424674
28448,42.676426,-75.87627,-5,515,7.667883,0.315,0,0,0,38.89298049
28449,42.655815,-75.73015,-5,564,7.8612914,0.28260002,0,0,0,28.50990258
28450,42.63506,-75.58412,-5,429,7.4999204,0.0234,0,0,0,16.35131168
28451,42.61415,-75.4382,-5,439,6.903588,0.0144,0,0,0,17.44410388
28452,42.5931,-75.29239,-5,443,6.662115,0.5103,0,0,0,25.19534414
28453,42.571907,-75.14666,-5,421,6.554897,0.3357,0,0,0,20.32520128
28455,42.52907,-74.855515,-5,606,6.9736414,0.0081,0,0,0,29.8071818
28457,42.485653,-74.56477,-5,447,7.009142,0.022499999,0,0,0,14.7685909
28458,42.463726,-74.419556,-5,447,7.009142,0.0234,0,0,0,20.74696752
28465,42.306168,-73.40596,-5,533,8.402254,1.2284999,0,0,0,26.06336362
28466,42.283077,-73.26158,-5,413,7.67104,1.1664,24,21.786493,27.25587,1.880954544
28467,42.259842,-73.11731,-5,446,8.24088,0.0324,0,0,0,28.26064284
28468,42.236465,-72.973145,-5,484,8.310646,0.0243,0,0,0,5.168376618
28469,42.212948,-72.8291,-5,343,6.46295,0.0648,0,0,0,24.2324805
28475,42.0688,-71.967094,-5,196,7.310679,0.0324,0,0,0,26.96336362
28505,41.21134,-124.075714,-8,291,5.18989,0.0801,0,0,0,69.23751293
